song,bark_channel,bark_band,column,count,mean,standard_deviation
The DoneFors - Pouring Room,mid,20,bark_mid_20,9,7.24492809508,0.189662734095
The DoneFors - Pouring Room,mid,21,bark_mid_21,9,7.31943130493,0.22904371635
The DoneFors - Pouring Room,mid,22,bark_mid_22,9,7.39698780908,0.255424790087
The DoneFors - Pouring Room,mid,23,bark_mid_23,9,6.95090617074,0.236209992275
The DoneFors - Pouring Room,mid,24,bark_mid_24,9,6.16049310896,0.277624272781
The DoneFors - Pouring Room,side,1,bark_side_01,9,6.61670181486,0.223179797249
The DoneFors - Pouring Room,side,2,bark_side_02,9,6.76697413127,0.185560909405
The DoneFors - Pouring Room,side,3,bark_side_03,9,6.56221856011,0.201848830132
The DoneFors - Pouring Room,side,4,bark_side_04,9,6.65202188492,0.160843138897
The DoneFors - Pouring Room,side,5,bark_side_05,9,6.83281909095,0.219340127978
The DoneFors - Pouring Room,side,6,bark_side_06,9,6.44422149658,0.237393882731
The DoneFors - Pouring Room,side,7,bark_side_07,9,6.36386961407,0.270783301684
The DoneFors - Pouring Room,side,8,bark_side_08,9,6.35266722573,0.284020897257
The DoneFors - Pouring Room,side,9,bark_side_09,9,6.21536699931,0.249740701408
The DoneFors - Pouring Room,side,10,bark_side_10,9,6.21854167514,0.241909125831
The DoneFors - Pouring Room,side,11,bark_side_11,9,6.04888693492,0.223414259129
The DoneFors - Pouring Room,side,12,bark_side_12,9,6.01028898027,0.215385179651
The DoneFors - Pouring Room,side,13,bark_side_13,9,6.09302515454,0.226578422205
The DoneFors - Pouring Room,side,14,bark_side_14,9,6.10387108061,0.203983077026
The DoneFors - Pouring Room,side,15,bark_side_15,9,6.28896819221,0.196606138889
The DoneFors - Pouring Room,side,16,bark_side_16,9,6.39744334751,0.206019040469
The DoneFors - Pouring Room,side,17,bark_side_17,9,6.52945831087,0.236232232585
The DoneFors - Pouring Room,side,18,bark_side_18,9,6.5758629375,0.261752946481
The DoneFors - Pouring Room,side,19,bark_side_19,9,6.42757150862,0.23031097237
The DoneFors - Pouring Room,side,20,bark_side_20,9,6.40524827109,0.214879935188
The DoneFors - Pouring Room,side,21,bark_side_21,9,6.45294300715,0.248085160178
The DoneFors - Pouring Room,side,22,bark_side_22,9,6.5164671474,0.256785557913
The DoneFors - Pouring Room,side,23,bark_side_23,9,6.37583388223,0.3113408598
The DoneFors - Pouring Room,side,24,bark_side_24,9,5.82456710603,0.383814099701
