,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu[590],71.163,1.66,68.088,74.265,0.021,0.026,6078.0,3349.0,1.0
mu[591],75.628,1.658,72.475,78.669,0.019,0.025,7600.0,3361.0,1.0
mu[592],68.478,1.59,65.578,71.467,0.018,0.025,7765.0,3141.0,1.0
mu[593],65.462,1.649,62.33,68.462,0.02,0.026,7021.0,3346.0,1.0
mu[594],75.867,1.673,72.669,78.843,0.018,0.027,8187.0,3252.0,1.0
mu[595],68.717,1.596,65.617,71.498,0.017,0.027,8435.0,2776.0,1.0
mu[596],65.701,1.664,62.514,68.736,0.019,0.028,7417.0,2976.0,1.0
mu[597],75.442,1.649,72.501,78.684,0.019,0.027,7399.0,3035.0,1.0
mu[598],65.276,1.637,62.093,68.246,0.02,0.028,6899.0,3128.0,1.0
mu[599],68.292,1.585,65.338,71.193,0.018,0.027,7766.0,2980.0,1.0
mu[600],63.122,1.647,60.08,66.203,0.02,0.029,6781.0,2951.0,1.0
mu[601],66.785,1.76,63.319,70.036,0.023,0.03,5993.0,3092.0,1.0
mu[602],66.877,1.603,63.816,69.814,0.019,0.029,6843.0,2706.0,1.0
mu[603],61.063,1.67,58.055,64.238,0.023,0.026,5430.0,2952.0,1.0
mu[604],64.726,1.78,61.519,68.187,0.025,0.028,5031.0,3009.0,1.0
mu[605],64.818,1.626,61.849,67.941,0.022,0.027,5365.0,2760.0,1.0
mu[606],69.283,1.614,65.981,72.071,0.02,0.027,6640.0,3130.0,1.0
mu[607],65.528,1.654,62.524,68.667,0.02,0.027,6790.0,3211.0,1.0
mu[608],69.191,1.754,65.979,72.512,0.022,0.029,6150.0,2942.0,1.0
mu[609],65.767,1.632,62.705,68.773,0.02,0.025,6717.0,3021.0,1.0
mu[610],69.43,1.762,66.087,72.687,0.023,0.027,5989.0,3188.0,1.0
mu[611],69.522,1.594,66.425,72.325,0.019,0.026,6854.0,3036.0,1.0
mu[612],65.342,1.678,62.233,68.497,0.02,0.029,6866.0,2894.0,1.0
mu[613],69.005,1.777,65.663,72.344,0.023,0.031,5963.0,2969.0,1.0
mu[614],69.097,1.635,65.818,71.985,0.02,0.03,6826.0,2837.0,1.0
mu[615],69.462,1.591,66.359,72.331,0.019,0.029,7102.0,2444.0,1.0
