mix,start_seconds,end_seconds,mono_corr,stereo_width_diff_db,crest_diff_db,imbalance,simple_score
PXL-S1,38.0,44.0,-0.0045400746898555675,1.3997429617597081,1.1299029094585045,0.02495899855983761,1.438437066678341
PXL-S1,46.0,52.0,0.011934623240738181,1.4296952494705106,1.2544270666721857,0.02226051316351054,1.4391424382546067
UCP-A5,18.0,24.0,0.0006684431519803887,1.5670440233794984,-0.740298555283232,0.004904921866968719,1.4532299086782734
McG-E,38.0,44.0,-0.0036891718013299948,-1.3664881856190103,-1.474158772044163,0.00643034034704056,1.4717462522187896
UCP-A5,58.0,64.0,0.07731663078057961,2.1211633251822004,-0.1319195151508552,0.016996176087531848,1.4857363283025693
McG-G,46.0,52.0,-0.026671879319758993,1.440853978987807,1.0415611115402434,-0.007770962334082421,1.490004914864458
PXL-S3,50.0,56.0,-0.0032401683282676876,1.0873940835830656,2.5332103071544125,0.027701493882108172,1.49015892452123
PXL-S4,42.0,48.0,0.0051281426224708245,1.4683685821310632,1.3832743478267204,-0.019706863858405956,1.4914191579945981
McG-A,38.0,44.0,-0.028286965036107885,1.1365992133017677,-2.067195204925067,-0.014918474362856685,1.4949528174618596
McG-E,14.0,20.0,0.02208148522724868,-1.6094007386449523,1.2299903821439777,0.010503752745670234,1.5050359561895754
DU-N,10.0,16.0,0.6515861632893997,-2.380047580242973,-2.1140228518035187,-0.006929323019230716,1.5071272178920143
PXL-S3,42.0,48.0,0.010984434759987347,1.4834876655745948,1.5822388986293987,0.021135741252296374,1.5171107980617324
PXL-S4,34.0,40.0,0.0090908804840349,1.7000143185597647,0.8794677143896834,-0.010290247980996647,1.5237455554702652
McG-A,62.0,68.0,-0.05206050647178439,1.6696860843442174,0.28277586149917155,-0.01355834487913259,1.5413804343405533
PXL-S4,14.0,20.0,0.002123325819851799,1.6339858801081508,1.2161628022786424,-0.004317220183784554,1.5551707087561684
UCP-A5,62.0,68.0,0.06898128150929704,2.1046270323378504,0.5557417553883681,0.016843347510383484,1.5577122164585864
McG-H,26.0,32.0,-0.21877093749237858,0.7994879999874236,1.1009234498137488,-0.018613698724349786,1.5624243924505312
McG-A,42.0,48.0,0.007563023427254439,1.431828059027822,-2.0110498794779836,-0.017823508338698054,1.5624454645810997
McG-pro,42.0,48.0,-0.03955809997672112,1.6272651164197178,-0.8165621411187836,-0.023478914454984696,1.5752330793311187
McG-pro2,42.0,48.0,-0.03955809997672112,1.6272651164197178,-0.8165621411187836,-0.023478914454984696,1.5752330793311187
McG-E,10.0,16.0,0.022705630834266986,-2.0104281424892143,0.37910266434298023,0.007099653670219627,1.5766682092275204
UCP-A5,54.0,60.0,0.06081161417300305,1.9628113917422407,-1.0656722581713183,0.009668317887664809,1.579633306250812
PXL-S3,54.0,60.0,-0.01625149875563382,1.51124948834393,1.5709137200374954,0.02302881526581586,1.5837647996888569
McG-A,46.0,52.0,0.0035605882558388258,0.9852551783544587,-3.643683817723563,-0.016273104444763657,1.5920589853240863
DU-N,38.0,44.0,0.6491194870197582,2.159879281663086,-3.480040026293647,-0.012590282014445005,1.60194564477559
McG-C,42.0,48.0,-0.06496589751069362,1.5912631371959112,-0.7963781518848876,-4.3807050469414083e-07,1.6050200864020758
PXL-S2,38.0,44.0,-0.011935218816251468,1.8049388306502383,-0.8683912426543721,-0.03628097034455808,1.616598539355778
