run_tag,config_hash,scenario,participant_count,replication,seed,divergences,max_rhat,min_ess,operational_success,strict_convergence,episode_specific_interaction_slope_bias_mean,episode_specific_interaction_slope_mae,episode_specific_interaction_slope_rmse,episode_specific_interaction_slope_coverage,episode_specific_interaction_slope_sign_recovery,episode_specific_interaction_slope_hdi_width_mean,main_effect_bias_mean,main_effect_mae,main_effect_rmse,main_effect_coverage,main_effect_sign_recovery,main_effect_hdi_width_mean,coefficient_rmse,coefficient_coverage,coefficient_sign_recovery,coefficient_hdi_width_mean,cell_mean_rmse,cell_mean_mae,cell_mean_coverage,average_cell_hdi_width,winner_accuracy,mean_probability_true_winner,true_winner_probability_gt_0_50_rate,true_winner_tie_count,rows,clipped_ratings,failed,error_type,error_summary,warning_count,warning_summary,elapsed_seconds
phase3c_final_highrep_v1,350ccb9c668fdd57,higher_noise_moderate_effects,20,11,325511,0,1.03,97.0,True,False,-0.118252910709495,1.166662733037659,1.3602866760347223,1.0,0.9,4.715445382838349,0.2941432946882877,0.3982608627347578,0.437079358607728,1.0,1.0,3.2389804044022577,1.173150577135278,1.0,0.9285714285714286,4.293598246142324,1.8554109156327865,1.5175317356299187,1.0,10.601540741217852,0.8,0.8003750000000001,0.8,0,600,6,False,,,0,,6.127529621124268
phase3c_final_highrep_v1,350ccb9c668fdd57,higher_noise_moderate_effects,20,12,325512,0,1.02,78.0,True,False,0.3511046331647865,0.6612641236698262,0.9531170562520204,1.0,0.9,4.606966429993451,0.8990852249276848,0.8990852249276848,1.0645161401932206,1.0,0.75,3.284318079890417,0.986230184668318,1.0,0.8571428571428571,4.229066901392585,3.8408016135786895,3.4672721037022387,0.8833333333333333,11.485307605567504,0.85,0.7889375,0.85,0,600,4,False,,,0,,6.444649934768677
phase3c_final_highrep_v1,350ccb9c668fdd57,higher_noise_moderate_effects,20,13,325513,0,1.01,125.0,True,True,-0.1763466124138111,0.7197524317453637,0.9028234979139512,1.0,0.9,5.073563673541946,0.6986178847968332,0.6986178847968332,0.9824011198512006,1.0,0.75,3.487322094022535,0.926257852289654,1.0,0.8571428571428571,4.620351793679256,5.612040724096117,5.455049148152122,0.35,10.075978121879595,0.95,0.8508125,0.95,0,600,3,False,,,0,,7.050146102905273
phase3c_final_highrep_v1,350ccb9c668fdd57,higher_noise_moderate_effects,20,14,325514,0,1.02,88.0,True,False,-0.3192349480878052,0.9518082470185004,1.2605404295365978,0.9,0.8,4.7061612607480745,-0.3356852506050333,0.3866138643466958,0.5168755793304733,1.0,1.0,3.509698617632841,1.100592801402822,0.9285714285714286,0.8571428571428571,4.36431479128658,1.693259621011538,1.2897449970275825,1.0,11.284795762236094,0.85,0.8229374999999999,0.85,0,600,12,False,,,0,,6.663759231567383
phase3c_final_highrep_v1,350ccb9c668fdd57,higher_noise_moderate_effects,20,15,325515,0,1.02,129.0,True,False,-0.0657158812651834,0.6855016142258836,0.7763605133362019,1.0,1.0,4.6261004168613695,0.4143575383968052,0.4694385901514957,0.6502245676814525,1.0,0.75,3.2484589089232947,0.7425113957924262,1.0,0.9285714285714286,4.23248855745049,2.7177462836419224,2.433143559586826,0.9666666666666668,9.809420315336949,0.9,0.8131875000000001,0.9,0,600,2,False,,,0,,6.868210792541504
phase3c_final_highrep_v1,350ccb9c668fdd57,higher_noise_moderate_effects,20,16,325516,0,1.03,87.0,True,False,-0.1082025969959556,0.8053790036831454,1.0086735068749972,1.0,0.8,4.506582917664646,-0.065551380976387,0.4117515796685365,0.4428926191208993,1.0,1.0,3.162133433989452,0.8847452386745549,1.0,0.8571428571428571,4.1224544937574485,1.60136466519509,1.269077797382076,1.0,10.453119604357546,0.95,0.8313750000000001,0.95,0,600,8,False,,,0,,11.003481149673462
phase3c_final_highrep_v1,350ccb9c668fdd57,higher_noise_moderate_effects,20,17,325517,0,1.01,79.0,True,False,0.3250687991491061,0.9676504319246568,1.059477013823616,1.0,0.8,4.878265113875999,-0.0657206307375354,0.6883789929858617,0.7780599724101305,1.0,0.75,3.340753711113663,0.987291558864578,1.0,0.7857142857142857,4.4389761416581885,2.4377927139184323,1.8124959298534349,0.9666666666666668,10.818932471671724,0.85,0.8179375,0.85,0,600,8,False,,,0,,6.955485820770264
phase3c_final_highrep_v1,350ccb9c668fdd57,higher_noise_moderate_effects,20,18,325518,0,1.02,94.0,True,False,-0.3560097438332895,0.9328743124241832,1.0810072227058816,1.0,0.9,4.656170662083754,0.2982177194313203,1.042182220897187,1.258901412762158,0.75,1.0,3.273235154619619,1.1346836319193956,0.9285714285714286,0.9285714285714286,4.261046231379716,2.539941094115613,1.9585518436125449,0.9,9.521552354629982,0.85,0.791625,0.85,0,600,10,False,,,0,,6.662014007568359
phase3c_final_highrep_v1,350ccb9c668fdd57,higher_noise_moderate_effects,20,19,325519,0,1.04,47.0,False,False,-0.0650156072496856,0.997654083329109,1.1448428147045029,1.0,0.8,4.537017325335089,0.2068927087485853,0.6984777227572556,0.7363023931773726,1.0,1.0,3.2591242219954104,1.0445510163496832,1.0,0.8571428571428571,4.171905010095181,1.9530895093343292,1.6047526239759773,1.0,11.348716240582776,0.9,0.8254374999999999,0.9,0,600,10,False,,,0,,12.143471479415894
phase3c_final_highrep_v1,350ccb9c668fdd57,higher_noise_moderate_effects,20,20,325520,0,1.06,34.0,False,False,-0.0126916366609878,0.9412198335477354,1.048030134056451,1.0,0.8,4.679994681832342,0.7883716634880711,0.8193754684583878,1.263182772496098,0.75,0.75,3.3703959503742054,1.113751526721017,0.9285714285714286,0.7857142857142857,4.3058236157014464,2.1359115045025256,1.4722160153075805,0.9666666666666668,10.043671629351495,0.85,0.7741250000000001,0.8,0,600,4,False,,,0,,7.80841851234436
