parameter,true_value,posterior_mean,posterior_sd,hdi_3%,hdi_97%,bias,absolute_error,squared_error,covered,hdi_width,scenario,n_participants,replication
residual_share,0.5379488041225564,0.5734777743035672,0.0804473528062136,0.4140597154798394,0.7094547244248958,0.0355289701810107,0.0355289701810107,0.0012623077221231,True,0.2953950089450564,smaller_effects_harder,20,7
participant_ICC,0.4046938889822438,0.3225873363285034,0.086046197820382,0.1734241561533637,0.481721542379072,-0.0821065526537403,0.0821065526537403,0.0067414859886814,True,0.3082973862257083,smaller_effects_harder,20,8
stimulus_ICC,0.0573573068951996,0.0320500034385868,0.0236599063318035,4.118085496971145e-05,0.0718474921628243,-0.0253073034566128,0.0253073034566128,0.000640459608245,True,0.0718063113078546,smaller_effects_harder,20,8
residual_share,0.5379488041225564,0.6453626602329098,0.0828098856586781,0.4918267676403287,0.7947339163054243,0.1074138561103533,0.1074138561103533,0.0115377364844956,True,0.3029071486650956,smaller_effects_harder,20,8
participant_ICC,0.4046938889822438,0.4441781406446878,0.0905761567356698,0.2874646003715772,0.6347064905906534,0.039484251662444,0.039484251662444,0.0015590061293432,True,0.3472418902190762,smaller_effects_harder,20,9
stimulus_ICC,0.0573573068951996,0.109968453761234,0.0579235958545252,0.0337470698419274,0.2107494566215989,0.0526111468660343,0.0526111468660343,0.0027679327745594,True,0.1770023867796714,smaller_effects_harder,20,9
residual_share,0.5379488041225564,0.4458534055940782,0.0743007132091059,0.3155674231537058,0.5865521389104628,-0.0920953985284781,0.0920953985284781,0.0084815624301192,True,0.270984715756757,smaller_effects_harder,20,9
participant_ICC,0.4046938889822438,0.4538186092984916,0.0898982192135221,0.3004599853909864,0.6275078158575496,0.0491247203162478,0.0491247203162478,0.0024132381461495,True,0.3270478304665631,smaller_effects_harder,20,10
stimulus_ICC,0.0573573068951996,0.0820531331037249,0.0385594450694192,0.0238897461594461,0.1541247420266134,0.0246958262085252,0.0246958262085252,0.0006098838321216,True,0.1302349958671672,smaller_effects_harder,20,10
residual_share,0.5379488041225564,0.4641282575977833,0.0799666205364696,0.3127885382952794,0.6044633464519186,-0.073820546524773,0.073820546524773,0.0054494730892161,True,0.2916748081566391,smaller_effects_harder,20,10
participant_ICC,0.4046938889822438,0.5371927700983402,0.0727505540648314,0.3964337600922127,0.671615967131672,0.1324988811160964,0.1324988811160964,0.0175559534970174,True,0.2751822070394593,smaller_effects_harder,30,1
