parameter,true_value,posterior_mean,posterior_sd,hdi_3%,hdi_97%,bias,absolute_error,squared_error,covered,sign_recovered,hdi_width,scenario,n_participants,replication
z_RMS,2.2,2.0667022837700597,0.6570524286567203,0.7468284244698493,3.259273525129311,-0.1332977162299409,0.1332977162299409,0.0177682811521178,True,True,2.5124451006594617,moderate_expected,40,1
z_CF,-1.7,-1.1488828320028046,0.6889534768417349,-2.4847302161836446,0.0670049973104387,0.5511171679971953,0.5511171679971953,0.3037301328612488,True,True,2.551735213494084,moderate_expected,40,1
z_SW,1.9,2.835973100018013,0.6748712006202598,1.64174573330026,4.103101292079209,0.9359731000180131,0.9359731000180131,0.8760456439573296,True,True,2.461355558778949,moderate_expected,40,1
episode[EDR-2],-1.4,-2.0590328240643307,0.7145224973510345,-3.344464815450928,-0.6219943124449683,-0.6590328240643308,0.6590328240643308,0.4343242631942072,True,True,2.72247050300596,moderate_expected,40,2
episode[FM-1],2.0,1.6601433525043592,0.7273928750855245,0.3875246906982903,3.037808252336064,-0.3398566474956408,0.3398566474956408,0.1155025408469762,True,True,2.6502835616377736,moderate_expected,40,2
group[group_02],1.2,2.385138885471694,3.6263375945411886,-4.550742351818088,9.001701629898776,1.1851388854716942,1.1851388854716942,1.4045541778570896,True,True,13.552443981716864,moderate_expected,40,2
z_RMS,2.2,1.5126714105240748,0.8676411414699116,-0.0754447558077742,3.1353088067805905,-0.6873285894759253,0.6873285894759253,0.4724205899109651,True,True,3.2107535625883648,moderate_expected,40,2
z_CF,-1.7,-2.6151002639403127,0.9364837158936442,-4.444278746794024,-0.9247952387384752,-0.9151002639403129,0.9151002639403129,0.8374084930636301,True,True,3.5194835080555484,moderate_expected,40,2
z_SW,1.9,1.7887324493129173,0.8755675663196989,0.1378986762656615,3.3719206771225627,-0.1112675506870826,0.1112675506870826,0.0123804678359024,True,True,3.234022000856901,moderate_expected,40,2
episode[EDR-2],-1.4,-1.634102437677695,0.7049829977685165,-2.878399503013845,-0.3267096947938663,-0.234102437677695,0.234102437677695,0.054803951326639,True,True,2.5516898082199786,moderate_expected,40,3
episode[FM-1],2.0,1.937571367748788,0.7143901453265077,0.5528444083817503,3.2995092834607807,-0.0624286322512119,0.0624286322512119,0.003897334124757,True,True,2.7466648750790306,moderate_expected,40,3
group[group_02],1.2,2.5564722180043,3.384808114803648,-3.8245126865643018,9.081044806803948,1.3564722180043003,1.3564722180043003,1.840016878217506,True,True,12.90555749336825,moderate_expected,40,3
z_RMS,2.2,2.610681376301756,1.0594849369236734,0.8723386556544281,4.824975111069961,0.4106813763017554,0.4106813763017554,0.168659192841104,True,True,3.952636455415533,moderate_expected,40,3
z_CF,-1.7,-1.2006992951316924,1.1055911402827328,-3.200998730623994,0.8106481880477707,0.4993007048683076,0.4993007048683076,0.2493011938819888,True,True,4.011646918671765,moderate_expected,40,3
z_SW,1.9,3.2333167998238337,1.241516185437915,1.088987816523518,5.70705883823543,1.3333167998238338,1.3333167998238338,1.7777336886924693,True,True,4.618071021711913,moderate_expected,40,3
episode[EDR-2],-1.4,-1.366600817971698,0.700675529855683,-2.5052120318368343,0.0570607931912965,0.0333991820283019,0.0333991820283019,0.0011155053601596,True,True,2.562272825028131,moderate_expected,40,4
episode[FM-1],2.0,2.011951475475481,0.6938773124997741,0.7185268119182007,3.28440888886574,0.0119514754754814,0.0119514754754814,0.000142837766041,True,True,2.5658820769475392,moderate_expected,40,4
group[group_02],1.2,4.745463168481153,3.1779404747335747,-0.9204608064105742,10.402574711985212,3.5454631684811524,3.5454631684811524,12.570309079056411,True,True,11.323035518395788,moderate_expected,40,4
z_RMS,2.2,0.848047727878051,0.8944855971984752,-0.8524222958325108,2.469093936229134,-1.3519522721219492,1.3519522721219492,1.827774946095701,True,True,3.321516232061645,moderate_expected,40,4
