artist,song,mix_id,institution_code,original_dataset_filename,original_mix_name,original_source_path,mapping_valid,mapping_notes
The DoneFors,Lead Me,mix_a321c1267965,DU,DU-C.mp3,DU-C,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\DU-C.mp3,true,derived from source_path basename
The DoneFors,Lead Me,mix_a5df7e0b4222,UCP,UCP-A2.mp3,UCP-A2,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\UCP-A2.mp3,true,derived from source_path basename
The DoneFors,Lead Me,mix_b5102e72a550,CNS,CNS-5.mp3,CNS-5,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\CNS-5.mp3,true,derived from source_path basename
The DoneFors,Lead Me,mix_c7d9a071ba25,PXL,PXL-L4.mp3,PXL-L4,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\PXL-L4.mp3,true,derived from source_path basename
The DoneFors,Lead Me,mix_d2a4240adfd8,UCP,UCP-A1.mp3,UCP-A1,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\UCP-A1.mp3,true,derived from source_path basename
The DoneFors,Lead Me,mix_d2cf329ea054,QUT,QUT-pro.mp3,QUT-pro,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\QUT-pro.mp3,true,derived from source_path basename
The DoneFors,Lead Me,mix_d3e3580b6e30,McG,McG-pro2.mp3,McG-pro2,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\McG-pro2.mp3,true,derived from source_path basename
The DoneFors,Lead Me,mix_d5b28dfc8a93,PXL,PXL-L1.mp3,PXL-L1,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\PXL-L1.mp3,true,derived from source_path basename
The DoneFors,Lead Me,mix_e0abc393175b,McG,McG-G.mp3,McG-G,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\McG-G.mp3,true,derived from source_path basename
The DoneFors,Lead Me,mix_e245880b329a,McG,McG-F.mp3,McG-F,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\McG-F.mp3,true,derived from source_path basename
The DoneFors,Lead Me,mix_e81c71fd1462,CNS,CNS-D.mp3,CNS-D,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\CNS-D.mp3,true,derived from source_path basename
The DoneFors,Lead Me,mix_f1f7973e5bac,DU,DU-D.mp3,DU-D,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\DU-D.mp3,true,derived from source_path basename
The DoneFors,Lead Me,mix_f5d86db961c3,DU,DU-G.mp3,DU-G,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\DU-G.mp3,true,derived from source_path basename
The DoneFors,Lead Me,mix_fa064711a381,McG,McG-pro.mp3,McG-pro,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\McG-pro.mp3,true,derived from source_path basename
The DoneFors,Pouring Room,mix_0ba76f420c1d,McG,McG-R.mp3,McG-R,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\PouringRoom\McG-R.mp3,true,derived from source_path basename
The DoneFors,Pouring Room,mix_0ddb25d6180b,McG,McG-Q.mp3,McG-Q,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\PouringRoom\McG-Q.mp3,true,derived from source_path basename
The DoneFors,Pouring Room,mix_132e75f34470,McG,McG-pro1.mp3,McG-pro1,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\PouringRoom\McG-pro1.mp3,true,derived from source_path basename
The DoneFors,Pouring Room,mix_37681ed84b6b,McG,McG-U.mp3,McG-U,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\PouringRoom\McG-U.mp3,true,derived from source_path basename
The DoneFors,Pouring Room,mix_786fc67a9418,McG,McG-W.mp3,McG-W,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\PouringRoom\McG-W.mp3,true,derived from source_path basename
The DoneFors,Pouring Room,mix_9f79c0810c7e,McG,McG-pro.mp3,McG-pro,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\PouringRoom\McG-pro.mp3,true,derived from source_path basename
The DoneFors,Pouring Room,mix_be2ccd4c43ff,McG,McG-T.mp3,McG-T,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\PouringRoom\McG-T.mp3,true,derived from source_path basename
The DoneFors,Pouring Room,mix_cbf8555ee2b2,McG,McG-X.mp3,McG-X,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\PouringRoom\McG-X.mp3,true,derived from source_path basename
The DoneFors,Pouring Room,mix_e08faaf8bbb3,McG,McG-V.mp3,McG-V,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\PouringRoom\McG-V.mp3,true,derived from source_path basename
